LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
50422,1,2,1,38,0,0,0,0,0,0,76818,137292,32820,75598,60059,43325,4926,4266,2763,273,65,683,0
29071,1,2,2,44,2,0,0,0,0,0,12605,11710,591,6715,10291,15468,3053,670,4070,947,2026,136,0
172028,2,3,1,32,-1,-1,-1,-1,-1,-1,526,2377,-1900,1426,-961,-232,0,87,1435,2167,1937,670,0
153553,2,3,1,57,0,3,0,0,2,0,86662,53376,82926,67054,86166,96117,52319,121811,5080,4944,4739,44531,0
322029,2,2,1,41,-2,-2,-2,-2,-2,-2,-246,112,-1905,-418,-323,412,864,1150,6359,0,19,0,1
161546,1,2,2,34,2,0,5,-1,-2,-2,41839,2082,1848,2385,-158,428,0,1537,0,568,102,409,1
43254,2,2,1,32,1,8,3,2,2,3,52381,30737,24364,33060,52474,29377,105,1080,1406,2537,0,0,1
142290,2,1,1,34,0,0,0,0,0,0,87887,97225,90935,84638,127191,65291,3175,1548,2768,3025,3120,26,0
51702,2,1,2,36,0,0,0,0,2,2,40905,55153,37047,18103,13572,12833,976,917,20995,2264,1808,284,1
497316,2,3,1,35,1,5,4,3,2,0,45719,16756,66687,22053,45120,15097,32544,28176,17516,111,15509,58082,0
15275,1,2,1,34,2,6,5,4,3,2,74833,45040,-2039,-653,10589,-822,4,45,708,0,0,0,1
32518,2,1,1,23,2,2,2,5,4,3,10393,44642,22113,4153,7661,14394,6088,262,1259,262,0,0,0
424434,2,2,1,37,0,0,0,1,2,0,358780,242955,408825,469483,318313,320714,16774,1189,8734,8001,10891,54251,1
55197,1,3,2,31,1,2,2,2,2,2,10918,26635,18903,46050,20205,44436,3235,180,1735,0,3257,165,1
156917,1,2,1,65,0,0,0,0,0,0,65096,145123,72993,55476,70688,93586,2284,5145,2750,3281,0,1999,0
165655,2,2,3,26,1,4,3,2,2,2,73119,39792,29316,50324,105100,38295,821,980,1715,4819,2694,1667,0
21727,2,2,2,33,5,4,2,2,2,0,18390,6133,11226,11278,15863,10417,910,0,209,417,82,0,1
27438,2,2,1,29,0,0,0,0,0,0,14175,23018,10258,16848,19668,16927,3725,1081,2424,396,1053,0,0
25577,1,2,2,33,0,0,0,0,0,2,18193,46437,45644,14779,16726,2447,2151,1101,1687,1352,1938,1376,0
56692,1,2,1,24,0,0,0,0,0,0,41981,50175,27458,43261,53148,40934,1094,1414,7216,4213,2401,2552,0
155767,2,1,1,46,1,-2,-2,-2,-2,-2,484,1973,-493,-308,-587,-177,1009,3791,0,156,0,175,0
19565,1,1,2,37,0,0,0,0,0,0,9749,8252,14267,4113,16084,2922,656,488,760,2442,525,308,0
52323,2,2,1,38,0,0,0,-1,2,0,43858,79862,7464,12886,5608,11619,4073,914,6648,2793,150,1559,0
89494,2,3,3,24,1,2,2,0,0,0,44112,85444,39611,10832,34513,31985,951,1055,2062,2362,1749,3561,0
122627,1,1,2,37,1,2,2,-2,4,4,9608,29,15999,28106,9461,4791,465,3043,4737,3384,0,557,0
285428,2,2,1,40,-1,-1,-1,-1,-1,-1,1953,2102,635,2547,810,-687,65,1414,382,4699,249,923,0
380486,2,3,1,56,-2,-2,-2,-2,-2,-2,958,1541,-729,178,-196,-435,0,481,106,130,213,105,0
388899,2,2,1,42,2,0,0,0,0,0,156194,4611,44420,74845,6845,27142,876,0,461,263,367,183,1
49831,1,3,1,35,1,4,3,2,5,0,16619,34379,7873,1658,21866,3247,57,0,0,0,0,278,1
46953,2,2,2,28,4,4,2,2,2,2,45473,15958,2959,22251,36474,16393,139,43,72,390,300,0,1
17360,1,3,1,37,2,2,2,7,7,7,4872,1651,3704,1772,2135,2980,0,0,0,0,0,0,0
38388,1,3,1,35,1,2,7,4,4,3,2126,1681,-1433,-6,43,-460,0,0,744,0,0,0,1
144484,2,1,2,30,1,0,2,0,0,0,100691,42660,88303,75310,50159,14970,4908,780,5208,18995,176,0,0
151355,2,2,1,50,-2,-2,-2,-2,-2,-2,1997,1277,518,1099,-298,1875,0,0,3791,2375,189,1029,0
452823,2,1,1,40,-1,-1,-1,-1,-1,-2,192,2520,-12,3502,-1942,-1121,985,0,0,0,0,469,0
16043,2,2,2,23,1,2,2,2,5,4,15288,23153,23770,22555,20523,-1064,1043,756,1114,49,0,0,1
293940,2,4,1,50,0,0,2,0,0,0,473111,404097,566150,434765,360378,331169,1560,1500,4910,612,5102,727,0
48719,2,3,3,54,0,0,0,0,0,0,139334,63715,20514,132430,65739,27196,13304,1733,608,2199,19,123,0
195820,2,1,1,37,-1,-1,-1,-1,-1,-1,-1012,464,-444,1094,150,-589,0,60,862,439,212,2946,0
127307,1,3,2,31,0,0,0,0,0,0,114793,160561,90252,80985,113894,13593,3277,4011,2071,2011,301,628,1
151717,2,2,1,38,-1,-1,-1,-1,-1,0,-1457,1442,-290,13546,1846,181,49,168,1434,537,7754,1202,0
381709,1,2,1,32,1,0,0,-2,0,-1,11501,-94,750,12056,17338,-703,493,666,1135,237,2988,1022,0
137902,1,2,2,34,0,0,2,2,0,-1,58166,84390,80915,69766,156021,89877,5439,3728,409,1681,1614,1545,0
122950,2,2,2,28,2,0,2,2,2,2,44331,96672,34638,88601,73495,60128,10601,2745,6484,2824,3261,353,1
98224,2,4,2,28,3,2,2,2,2,-2,10259,19571,16781,2210,1263,-789,4877,0,245,63,3975,0,1
138829,1,3,1,64,2,-1,0,0,0,0,10169,22628,52313,18432,15180,6303,475,4013,2214,1640,156,1070,0
26210,1,2,3,34,1,-1,-2,-2,-2,-1,785,-1022,-210,1657,1706,-228,393,638,0,0,0,0,1
20417,2,3,1,35,1,4,3,2,2,2,16762,12660,13439,-2779,19256,3659,237,0,358,508,461,42,1
59350,2,3,1,43,1,2,2,2,2,2,29955,15016,1033,17614,15058,8957,859,0,313,105,0,104,0
