LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
11239,1,1,2,28,-1,2,2,2,-2,-2,21661,-659,22024,-229,-222,1357,1801,334,747,485,0,792,1
150309,2,1,2,26,-1,-1,-1,0,0,0,14412,8471,2346,3509,2105,13900,12327,6978,8696,8506,359,6687,0
72851,2,2,2,27,0,0,0,0,0,0,67977,78140,81003,96601,62067,101269,6092,3021,4444,2890,1610,750,0
213911,2,1,1,36,1,-1,-1,-1,-1,-2,8737,22502,14349,2614,1727,880,1556,334,1356,412,264,672,0
46798,2,2,2,31,0,0,0,0,0,-1,16980,30239,17981,5941,1063,2947,3011,1283,553,0,818,2237,0
28357,2,2,2,24,1,2,2,0,0,0,9589,22589,31655,25189,17836,14047,2907,41,474,785,143,0,1
83885,2,3,1,42,2,2,0,0,0,0,57995,62829,82660,44186,30534,24484,4297,0,2350,3543,1316,2256,0
23177,1,2,2,30,3,2,2,3,3,2,11608,15839,17144,14251,8609,15250,0,1264,436,1737,83,0,1
52810,1,3,1,54,2,2,2,2,2,2,17854,17074,18832,18187,19072,12239,105,3468,81,100,0,128,1
169470,1,2,1,49,-1,2,2,2,0,2,19364,16145,27,9391,81,8370,661,427,720,926,0,252,1
204775,2,1,2,27,0,0,0,0,0,0,113430,147797,145742,60424,133459,137922,8492,6140,4564,6443,8333,2284,0
37812,2,2,2,26,0,0,2,0,0,-2,2811,18251,9982,2692,10312,880,2803,0,1584,780,281,364,0
191991,2,1,2,36,-1,-1,-1,-1,-1,-1,509,21213,-241,2317,1183,13437,1545,176,955,559,278,3101,0
18496,2,1,2,22,-1,2,2,-1,-2,-2,1189,912,2042,-75,-1043,-478,0,491,0,0,0,0,0
89745,2,3,1,48,0,0,0,2,0,0,43076,55829,75927,61580,52860,51861,4570,4615,2505,3242,723,2206,0
82086,2,2,2,27,0,0,0,0,0,0,55414,75595,68359,57031,90905,75300,3890,3971,5389,2027,1417,3924,0
116783,2,2,2,29,0,0,0,0,0,0,171956,158416,126802,152103,139928,121463,5567,8092,3398,5207,4327,3969,0
335179,2,1,2,28,0,0,0,0,0,0,266413,221833,224464,223185,214052,201743,22787,7778,5039,8198,11310,8767,0
48574,2,2,2,23,0,0,0,0,0,0,43760,53986,53197,27388,32390,23249,2648,935,1542,2660,1455,1806,0
72005,1,2,2,27,0,0,0,0,0,-2,44674,53398,35026,25376,-333,621,6943,1641,1186,84,0,84,0
222734,2,1,2,30,-1,-1,-1,0,0,0,-96,588,7279,1830,2121,2508,2336,439,0,720,2401,3159,0
20980,2,2,1,43,0,0,0,0,0,0,11979,14841,8797,5471,19809,14784,1139,3615,1483,2649,1947,1297,0
58823,2,2,2,25,1,2,2,2,0,0,55842,55922,27470,33268,51812,26509,0,2367,0,2607,254,666,1
378741,2,2,1,37,0,0,-1,-1,-1,-1,77308,46977,31540,3707,37734,42255,42528,9634,1301,97746,34983,0,0
10000,2,2,2,22,1,2,2,0,0,2,38776,22719,21029,18351,20453,20695,0,1042,585,1204,0,147,0
207379,1,1,1,37,1,-1,-1,-1,0,0,2700,-2133,546,12052,-1845,-286,1299,506,1089,457,406,0,0
55773,2,2,1,34,0,0,0,0,0,0,25219,19529,22752,20439,26493,17105,2362,1980,3570,2587,2661,1545,0
233404,2,1,2,28,1,-2,-2,-2,-2,-2,406,16866,13515,15550,7235,1978,490,6675,5250,126,5073,2580,0
79894,2,2,2,23,0,0,0,0,-1,-1,44393,27649,23015,11010,18377,16569,1906,2549,85,2364,785,1470,0
63432,2,1,2,30,0,0,0,0,0,2,77434,67230,63843,41890,73414,49796,1144,2352,2952,2420,1765,1015,0
517277,2,1,1,50,-1,-1,-1,-1,0,0,113858,75585,123776,120654,93169,75093,29443,105500,104199,51423,19872,10197,0
51855,2,2,2,24,2,2,0,0,0,0,19114,35503,31280,27404,18934,30574,665,3055,2634,2594,492,2171,0
46291,1,3,1,51,0,0,0,0,0,0,33694,36148,19572,41279,19696,29535,1747,2365,2172,2537,489,3431,0
13810,2,2,1,35,2,2,2,2,2,2,21747,19431,9776,8373,16562,17834,160,1717,200,1279,0,0,1
316103,2,1,2,34,-2,-2,-2,-2,-2,-2,886,4162,2265,2885,779,2058,4433,3773,6706,2339,1723,0,0
55226,2,3,1,40,0,0,0,-1,-1,-1,39093,24261,18719,3642,6711,2226,1416,2473,1557,4606,974,1472,0
25311,1,2,1,38,-1,2,2,0,0,0,17353,11244,636,1148,910,-1246,870,728,50,74,235,0,1
