comparison,decile,mean_jaccard,mean_tau,pct_identical_topk,n
Real vs Real (noise floor),all,0.7367966666666665,0.5924279318835586,0.5040333333333333,30000
Real vs Real (noise floor),0,0.8121,0.6004558629794047,0.633,3000
Real vs Real (noise floor),1,0.7768666666666666,0.5796363646884759,0.5713333333333334,3000
Real vs Real (noise floor),2,0.7063666666666666,0.5648695654297868,0.4483333333333333,3000
Real vs Real (noise floor),3,0.6793,0.559125164934434,0.41233333333333333,3000
Real vs Real (noise floor),4,0.7509333333333333,0.56918313648055,0.5336666666666666,3000
Real vs Real (noise floor),5,0.7684666666666667,0.5726139662787318,0.565,3000
Real vs Real (noise floor),6,0.7270666666666666,0.5944980240811905,0.486,3000
Real vs Real (noise floor),7,0.7456666666666667,0.6231251646230618,0.5163333333333333,3000
Real vs Real (noise floor),8,0.7280333333333333,0.6450382088571787,0.484,3000
Real vs Real (noise floor),9,0.6731666666666667,0.6157338604827722,0.3903333333333333,3000
Real vs CTGAN,all,0.17241666666666666,0.08918708835418025,0.006833333333333334,6000
Real vs CTGAN,0,0.13133333333333333,0.05827404481979708,0.0016666666666666668,600
Real vs CTGAN,1,0.115,0.04710144928501298,0.0016666666666666668,600
Real vs CTGAN,2,0.1145,0.03940711452780912,0.0,600
Real vs CTGAN,3,0.11600000000000002,0.040882740787540874,0.0033333333333333335,600
Real vs CTGAN,4,0.11283333333333334,0.05314888019580394,0.0016666666666666668,600
Real vs CTGAN,5,0.1245,0.050250329573949176,0.0033333333333333335,600
Real vs CTGAN,6,0.14933333333333335,0.07138339936733246,0.0033333333333333335,600
Real vs CTGAN,7,0.20666666666666667,0.09899868255170684,0.005,600
Real vs CTGAN,8,0.2625,0.16492753610170136,0.015,600
Real vs CTGAN,9,0.3915,0.26749670633114875,0.03333333333333333,600
Real vs TVAE,all,0.30108333333333337,0.1805375495093564,0.021666666666666667,6000
Real vs TVAE,0,0.4025,0.23521739137048522,0.05,600
Real vs TVAE,1,0.3236666666666667,0.19739130437374114,0.021666666666666667,600
Real vs TVAE,2,0.29,0.18940711478392283,0.01,600
Real vs TVAE,3,0.2715,0.1706455863825977,0.006666666666666667,600
Real vs TVAE,4,0.26916666666666667,0.1496442686688776,0.013333333333333334,600
Real vs TVAE,5,0.2561666666666667,0.13873517802761245,0.0033333333333333335,600
Real vs TVAE,6,0.28,0.1653754938673228,0.011666666666666667,600
Real vs TVAE,7,0.3056666666666667,0.18849802369562288,0.023333333333333334,600
Real vs TVAE,8,0.31266666666666665,0.18619235864530007,0.045,600
Real vs TVAE,9,0.29950000000000004,0.1842687752780815,0.03166666666666667,600
