LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
47631,2,3,2,38,1,4,3,2,2,0,9582,20210,43402,41622,40626,35687,1867,0,1102,530,0,331,1
153865,1,1,1,48,-1,2,2,2,-1,0,94976,78063,56775,56675,89764,84509,20291,14020,8874,26130,33402,19495,0
17732,1,2,1,33,3,2,2,2,0,5,21639,20660,29492,16848,13910,14141,0,0,384,582,330,134,0
194407,2,1,2,26,-1,0,0,-1,0,0,181419,268791,93565,51461,46902,131786,2033,6073,10067,70525,48554,18668,0
141605,1,2,1,32,1,2,2,2,-1,7,34494,36198,1641,37032,75353,11606,1558,644,512,2203,5311,290,1
27237,1,2,2,28,8,7,6,5,4,3,43489,23575,50288,52627,15138,17290,0,0,0,0,609,0,1
20442,1,2,1,27,1,2,2,2,8,5,1203,11507,19896,-527,-4027,17569,0,0,0,612,410,131,0
28971,1,1,2,29,0,0,0,0,0,0,32567,17367,41795,58110,43113,48628,1824,3865,333,9462,1873,22099,0
527819,2,1,1,35,-2,-2,-2,-2,-2,-2,3523,-624,-965,1435,-1421,-290,1186,253,7982,5734,9386,232,0
93056,2,1,2,31,-2,-2,-2,-2,-2,-2,1277,-2129,-1553,-1181,-17,1849,80,763,134,8226,165,85,0
14893,2,3,2,36,2,2,2,7,7,7,1282,1345,3244,3558,2191,2011,0,0,0,14,0,0,1
52429,1,2,1,27,0,0,0,0,0,0,19092,11620,17620,51000,15783,27437,3068,1827,1289,577,2506,520,0
94384,2,1,1,30,3,2,2,2,2,0,47249,50770,25271,33026,35428,61667,0,23,579,1505,2907,1899,1
131185,1,3,1,32,1,2,2,2,0,0,72472,109800,82617,83917,45057,72188,0,957,6964,629,2028,3371,0
68513,2,3,1,34,1,2,2,2,2,2,39967,6053,22571,21731,27532,26443,0,0,853,901,0,1099,1
155135,1,2,1,41,8,7,6,5,4,3,69209,84562,118985,74169,223315,135129,278,1767,0,0,0,80,0
253542,2,1,1,56,-1,-1,-1,-1,0,-1,1811,1103,14450,4339,7147,-3043,14510,0,3996,208,3727,2375,0
342202,2,3,1,39,0,0,0,3,2,0,390606,361067,272784,476185,268354,384194,12393,7429,1802,958,11051,150225,0
100746,2,1,2,53,1,-2,-1,-1,-1,-1,1515,916,494,-796,-131,1287,936,0,353,284,0,0,0
69847,2,1,2,31,2,0,0,2,2,2,211688,193806,231556,42159,190918,137072,3163,3478,617,1374,2236,1983,1
97025,1,1,3,43,0,0,0,2,0,0,15840,-3163,3141,5177,7932,12945,3669,1658,8566,1738,337,398,0
292445,2,2,1,34,-1,-1,-1,-1,-1,-1,4892,-472,273,2890,1192,779,23410,9715,4269,2255,13369,6328,0
435672,2,3,2,39,2,0,0,0,0,0,238432,350687,124834,159511,138271,191544,12563,11616,7869,29659,25549,28634,0
422148,1,1,1,44,1,2,2,7,-2,7,5100,2770,383,1972,1719,3376,0,0,86,26,0,53,1
126644,2,2,2,29,2,2,2,2,2,2,48778,41079,119724,178352,45100,57881,2485,0,9366,3718,1235,6872,0
102695,2,2,1,33,-1,-2,-2,-2,-2,-2,1833,-959,-409,632,-426,-47,383,0,373,269,0,0,0
407244,1,2,3,44,0,0,-1,-1,-1,2,29910,29377,28265,18711,6878,20539,12232,1882,40982,556,5003,6219,0
311202,1,1,1,53,2,-1,-1,-1,-1,-2,-68,726,1606,1190,-1186,-299,534,50,438,129,0,0,0
494439,2,1,1,38,-2,-2,-2,-2,-2,-2,3247,-58,1937,-3180,-752,2052,842,0,13156,10012,16,168,0
83989,2,2,2,35,4,4,3,2,2,0,43255,41413,38515,25864,39112,55530,2477,0,0,91,2476,1241,0
108050,2,4,2,26,0,0,0,0,0,0,107174,170939,147876,107538,133815,150885,2181,6408,10015,694,7153,4718,0
364280,2,1,1,56,1,2,4,3,2,2,457578,420819,488595,232947,177350,295081,3061,0,0,0,8425,436,1
176113,2,2,1,29,-1,-1,-1,-1,-1,-1,2784,-488,1226,-944,-79,-517,0,573,648,82,421,631,0
28758,1,2,2,28,4,4,2,3,2,2,12715,19326,13956,31479,7165,19752,0,0,0,0,95,800,1
109250,1,1,1,46,2,-1,-2,-1,0,0,3613,3087,1161,1414,26435,1683,4174,4617,550,5188,0,0,0
34949,1,3,2,30,2,2,8,3,3,4,31290,39859,51309,28685,4404,67143,0,598,404,282,4706,103,0
128096,2,2,1,36,0,0,0,-1,-1,0,64326,83674,105117,1470,-1114,1199,3333,2769,1019,3440,117,0,0
85061,2,3,1,53,1,2,7,6,5,-2,26,14374,219,856,-29,1185,0,0,979,179,0,0,0
412422,2,1,2,44,-2,-2,-2,-2,-2,-2,2614,2911,903,296,10221,17005,3093,1336,33378,8676,5999,300,0
142554,2,1,1,39,1,1,2,0,0,0,223517,64952,66523,96414,107245,84840,2599,8627,5746,13259,3083,6893,0
29141,1,3,2,43,1,2,2,7,4,6,15654,35046,28537,13468,21960,21084,0,0,350,0,455,0,1
347224,2,1,1,40,1,2,2,4,3,3,369889,341211,328287,161006,237402,36587,0,949,5413,14,4306,784,1
47054,2,2,1,49,3,2,2,2,5,2,14298,23616,29214,54087,38255,21555,0,819,361,327,0,0,0
465075,1,1,1,43,1,-1,-1,-1,0,0,37460,31578,46468,50686,43415,47306,42217,32475,18439,35319,47115,7002,0
71700,2,2,2,23,1,4,2,0,0,0,43684,20846,14773,9574,8424,17320,14,0,0,959,72,287,0
16233,1,3,2,24,-1,2,-1,0,0,-2,782,1920,2938,3218,-484,-85,0,68,677,137,150,202,0
25646,1,3,2,25,4,3,2,3,2,0,13440,36290,56283,34557,15319,169,820,0,233,90,1202,265,0
149694,2,1,2,28,-1,-1,2,-1,0,0,142640,254652,161410,18663,88546,8447,22646,2687,9045,5112,1811,91,0
275293,2,1,2,25,0,0,-2,-2,-2,-2,18601,14650,15367,1271,3665,-715,10532,0,3139,158,345,3888,0
65412,2,2,1,25,1,-2,-2,-1,-2,-1,-1879,-923,1750,2527,-2100,-944,0,0,243,148,416,0,0
42075,1,2,2,21,0,0,0,0,0,0,11267,21397,14662,61738,9919,19465,3160,1291,1860,2453,2652,2278,0
19397,1,2,1,38,-1,2,2,4,3,4,296,-343,-35,-768,-1396,15362,0,689,253,0,0,0,0
242781,2,1,1,42,1,-2,-2,-2,-2,-2,2421,1059,590,-2201,-10,1132,0,0,96,42,0,0,1
20517,1,2,2,24,1,2,2,7,7,6,2585,4478,2556,628,3001,2576,0,0,0,235,176,0,1
398533,2,1,1,32,-2,-2,-2,-2,-2,-2,1791,891,3003,1325,465,1036,132,849,0,92,0,0,0
84172,2,1,2,29,-1,-1,-1,-1,-1,-1,7272,16382,6875,15752,-4554,12678,4435,2104,2340,469,2755,394,0
213044,2,2,1,40,0,0,0,0,0,0,185679,9307,5232,930,157327,14806,5407,6008,746,547,1914,0,0
82025,2,2,1,47,4,4,3,3,0,0,36211,33065,41917,35789,45176,36436,715,0,6554,385,7716,1560,0
84829,2,2,2,44,0,0,-2,0,-1,-2,12680,19516,9618,-815,61,658,1044,1770,867,143,292,80,1
214880,2,2,1,39,-1,-1,-1,-1,-1,-1,154914,203445,9598,250760,20332,472414,10510,4661,9527,5929,8962,5219,0
304634,2,3,2,28,-2,-2,-2,-2,-2,0,16257,21348,15532,12710,14532,16445,20649,9688,11510,3828,12457,7481,0
64799,2,2,2,22,-2,2,0,0,0,0,25622,7951,5279,13935,12148,14289,1225,1039,1359,622,574,5470,0
87810,1,3,2,29,2,2,2,0,0,0,187427,122042,12513,125799,50055,38195,2387,2164,7489,6812,1938,3470,0
200078,1,1,2,29,1,-2,-2,-2,-2,-2,-1831,-1151,-725,-1468,985,3117,0,0,0,0,0,0,0
232499,2,2,2,43,-2,-2,-2,-2,-2,-2,2009,-1514,545,-353,-1392,12877,2419,251,575,0,5103,630,0
132600,2,3,1,40,0,0,0,0,-1,-2,83233,70608,81636,147339,62110,94468,2178,2344,347,2222,1489,1943,0
120103,2,2,2,38,5,0,0,0,0,0,118221,108868,115090,59353,44190,130747,2783,3247,6177,5126,6231,1261,0
410052,2,2,2,30,4,4,3,2,3,0,494517,593287,314980,439002,285574,415983,1303,0,576,508,1627,21791,0
401338,2,3,1,55,-2,-2,-2,-2,-2,0,41295,863,14127,261,12003,29123,64,0,526,2213,1068,1823,0
323313,1,1,1,44,-1,0,-1,-1,0,-1,75763,105345,54308,31223,101072,17589,97651,5389,44658,16131,43079,35203,0
16286,1,2,2,27,0,0,0,0,0,0,25724,9309,19841,14920,7362,17253,488,1340,294,1812,443,516,0
53537,2,2,2,30,-2,-2,-2,-2,-2,-2,18,839,2761,1683,-1779,1255,0,1330,480,72,45,322,0
76368,2,1,2,32,2,2,2,2,2,0,49673,119370,86459,38575,60572,99207,463,2858,1669,4074,606,1666,1
20324,1,2,1,29,1,4,3,2,2,2,17885,18983,15562,36392,17119,26981,1640,0,0,158,0,292,1
412215,2,2,1,36,-2,-2,-2,-2,-2,-2,15904,2804,121,834,959,1161,0,529,361,11863,452,15070,0
388725,2,2,1,48,0,0,0,1,0,0,376394,385143,417195,629311,515351,438449,20994,18303,9911,39156,9446,27152,0
63299,2,2,2,27,0,0,0,0,-2,0,46959,25207,47521,58969,3029,97515,2326,2835,2326,5456,583,2036,0
48324,2,1,2,26,2,2,2,7,7,7,34659,3996,2873,3793,1931,1362,0,0,0,0,0,0,1
377724,2,1,1,39,-1,-1,-1,-1,-1,-1,-648,1030,-744,1946,1541,1586,489,386,45,44,92,1518,0
10000,2,1,2,23,-1,-1,0,-1,0,0,1591,1443,1088,1894,6172,16299,750,500,382,177,463,217,0
80644,1,2,2,25,0,0,0,0,2,2,91896,45956,49234,-3842,25235,22469,5437,5942,2610,1439,607,6845,1
100236,2,1,1,47,1,0,2,2,0,0,19315,35369,32026,1477,22569,20301,1865,257,1289,244,1024,0,0
95123,1,2,2,46,1,-2,-2,-2,-2,-2,1804,1058,-431,-1524,-185,1576,0,0,0,0,0,0,0
215655,2,2,1,30,1,-2,-2,-2,-2,-2,1628,1894,-1,1653,875,9410,591,279,1287,0,0,177,0
80610,2,1,1,28,-1,2,0,0,0,0,52430,8046,14087,16338,6411,12876,1126,2761,1891,1287,239,326,0
25222,2,1,2,24,6,5,4,3,2,0,29977,70973,36967,24391,11229,16921,413,531,0,727,1982,0,0
14210,1,3,2,30,1,-1,-1,-1,0,-2,18372,11021,1972,7731,-2218,14133,0,1360,161,78,2508,94,1
398745,2,3,1,46,-2,-2,-2,-2,-2,-2,2954,10527,8915,1755,-1064,961,21819,14936,3037,0,8501,5177,0
219713,1,1,1,40,-1,-1,-1,-1,0,0,121442,1991,19,-1233,11107,1376,2848,2141,966,5299,4811,10,0
94158,2,1,1,45,0,0,0,0,0,2,185706,141264,107874,61797,114992,137431,82864,10176,7674,69180,3899,5319,0
372085,2,1,1,30,-1,-1,-1,-1,-1,-1,-659,17503,430,-1069,-2280,457,91,1650,1212,134,62,144,0
67752,1,3,1,41,-1,-1,-2,-2,-2,-2,1867,-85,-180,1768,-725,405,3453,271,242,5966,3084,0,0
369455,1,1,2,42,0,0,0,-1,-1,-1,220701,438273,139154,188276,193426,245839,20787,4197,7950,50475,8194,3063,0
97185,2,1,2,58,2,2,2,2,2,2,57885,61843,44965,32642,48071,43895,73,1424,1662,1602,0,143,1
247532,2,1,2,27,4,5,4,3,2,2,116177,171864,90519,105691,116006,86207,3238,545,26,0,4477,13064,0
240875,2,2,1,38,-1,-1,-1,-1,-1,-1,966,2295,-1189,479,350,20419,815,45295,13733,31485,52525,5865,0
22919,2,2,1,41,2,0,2,0,0,0,15670,43866,38256,12903,12042,12316,1071,505,1625,906,554,600,0
93160,1,3,1,58,2,2,2,2,3,2,48490,39972,46209,34557,23597,13640,508,855,1874,184,136,662,1
83658,2,3,2,28,0,0,0,0,2,2,34438,38117,36286,45482,13469,16454,8353,2006,1035,1380,266,12,0
