LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
22181,2,2,2,24,0,2,2,0,0,-1,13962,17807,1089,3847,2539,-1347,0,0,991,202,418,2672,0
77254,2,2,1,39,2,0,0,0,0,0,83640,84571,86458,76692,65838,83046,0,5015,4119,1761,4996,1465,0
156768,2,2,1,39,2,2,2,0,0,0,155127,127040,140565,147133,113226,110991,5936,575,4862,4402,5995,4303,1
43699,2,2,2,32,0,0,0,0,0,0,43401,40088,26430,32690,18540,7007,1177,1523,1182,1404,2116,850,0
131926,2,1,2,24,-1,-1,0,0,0,0,1377,17937,10952,4840,8577,1067,713,945,327,452,0,597,0
196775,2,2,2,32,2,0,0,0,0,2,132313,104188,133565,146387,142793,143202,6326,3576,4882,552,313,2404,1
97004,1,2,1,48,0,0,0,0,2,2,44087,51808,50050,40132,46933,38787,2818,1397,0,0,330,492,0
240479,2,1,2,29,-2,-1,-1,-2,-1,-1,3650,11849,8226,9172,13174,11775,2062,9257,3570,11718,9248,1785,0
56163,2,2,2,25,2,2,2,2,0,0,49967,54927,27880,27758,33309,43613,3543,0,744,2497,189,338,1
21716,1,2,1,42,2,0,0,2,-2,-2,22043,20649,2710,937,208,-673,1598,1383,0,229,221,0,1
84850,2,2,1,29,3,2,3,2,0,0,38920,48789,85744,48422,71947,52478,82,3384,54,3431,2000,302,1
51284,2,2,2,30,0,0,0,0,0,0,37250,12318,12568,21382,12455,18436,532,3191,851,118,2358,1118,0
248092,2,1,2,29,1,-2,-2,-2,-2,-2,-1550,10482,1413,280,1769,390,1461,1524,739,674,336,236,1
26252,2,2,2,27,0,0,0,-2,-2,-2,3400,2939,2472,2375,182,668,530,510,0,719,154,123,0
323354,2,1,2,29,-1,-1,-1,0,0,0,11584,11150,28852,37272,30048,49125,19552,4390,21393,6442,10413,5433,0
14766,1,2,2,42,2,2,2,2,2,2,24945,10108,27616,16838,14926,25600,0,1105,0,0,25,0,1
116840,2,2,1,52,0,0,0,0,0,2,97836,86333,78638,104484,78579,107312,4936,4239,2487,3739,208,0,0
23170,2,2,2,27,-1,-1,2,0,0,0,2817,3832,16087,1748,1659,2055,1106,476,1054,407,1936,0,0
54912,1,3,1,54,0,0,0,0,0,0,92688,96840,86217,82631,71667,54160,2277,3938,3188,1616,2447,2696,0
107549,2,2,2,33,0,0,0,0,0,0,166311,133000,129589,82260,47781,562,5134,5578,2749,1208,491,2245,0
47550,2,2,1,42,0,0,0,0,0,0,26160,53066,35225,18534,8306,810,3174,454,576,684,637,0,0
352868,2,2,2,28,0,0,0,0,0,0,202752,225635,188842,146722,151991,89646,8952,6079,2293,8472,0,3431,0
130462,2,2,1,41,0,0,0,0,0,0,69278,78642,79188,97307,100990,93251,5106,6011,3321,4943,3978,4809,0
23971,2,2,2,27,2,2,2,2,2,2,11159,6577,5121,7652,20017,16374,1401,228,1223,1358,1357,882,1
55832,2,2,2,28,-2,-2,-2,-2,-2,-2,26269,2882,2388,95,1355,1013,2390,1141,484,2573,517,25,0
214526,2,1,1,37,1,-1,-1,-1,-1,-1,2840,-83,2510,11061,8264,-2258,2237,738,5088,713,0,374,0
51753,2,2,1,35,0,0,0,0,-1,-1,30458,33262,37313,1764,6971,6447,2756,753,1483,646,53,805,0
80692,2,2,1,42,0,2,0,2,0,0,69886,101507,79442,89268,68474,60212,3589,4548,3633,1631,3805,3934,0
151726,2,2,1,39,2,0,2,2,-1,0,111772,64694,114319,90105,92114,80868,3992,0,0,106057,4820,1687,0
450662,2,2,1,51,0,0,0,0,0,0,52800,49720,38212,24200,28501,975,56227,16050,15900,2424,235,1704,0
191200,2,1,2,29,-1,-1,-1,-1,-1,-1,18423,17629,8136,11312,495,1054,1434,11217,967,1823,1442,8841,0
291879,2,1,1,46,-1,-1,-1,-1,-2,-1,30136,26757,5355,156,1944,2041,49806,7485,160,6632,1639,353,0
35265,2,2,2,30,2,2,2,0,0,0,4531,5772,13036,31769,16127,16621,493,2169,1157,657,1041,0,0
91737,2,2,1,37,2,0,0,2,2,0,109796,108716,144354,130986,127673,151324,4029,5813,4057,6040,6113,1643,0
355569,2,1,2,28,-1,-1,-1,0,0,0,3508,40619,63877,79106,85468,67776,59853,74631,121660,6491,5753,8328,0
367742,2,2,1,35,0,0,0,0,0,0,284009,202300,157163,189680,215608,129962,11256,12253,6513,3027,7286,7970,0
45591,2,2,2,27,0,0,0,0,0,0,31863,10626,34424,15216,33345,19868,2053,1280,555,852,2768,1277,0
211332,2,2,2,29,0,0,0,0,0,0,205197,181366,184775,172659,135380,165316,12107,8757,4206,6088,2528,6140,0
65319,2,2,1,58,0,0,0,0,0,0,60896,44148,42419,74359,39389,41195,2537,1640,3369,1904,2096,2391,0
372683,2,1,2,27,-2,-2,-2,-2,-2,-2,1151,1410,-171,158,-1055,2029,2428,155,189,52,156,0,0
98869,2,2,1,38,0,0,0,0,0,0,89730,89936,72832,60169,51338,90494,5305,7241,4154,3490,0,5669,0
40259,1,2,1,44,0,0,0,0,0,0,13817,11861,12082,7195,6252,12101,2877,1084,447,200,112,99,0
150808,2,2,1,27,2,2,0,0,0,0,129390,114770,104171,65076,125648,118524,72,3958,4803,1867,6079,3196,1
252151,2,1,2,32,1,-1,-1,-1,-1,-1,-1639,14712,683,2110,1389,945,0,876,121,264,0,177,0
83700,2,2,2,28,0,0,0,0,0,0,69984,67353,45093,49700,52335,62357,4400,2061,4593,3264,1162,1103,0
181764,1,2,1,42,1,-2,2,-1,2,0,195706,109304,100729,160805,148512,132488,5640,1211,1671,50135,4930,555,0
21747,1,2,2,31,2,2,2,2,2,2,18373,12484,14620,6224,1613,6028,2666,0,0,255,0,366,1
474775,2,2,1,53,-1,-1,-1,-1,-1,-1,27808,41672,15205,103357,93576,108566,12904,66085,142357,84224,5129,8690,0
70317,2,2,2,27,0,0,0,0,0,0,51587,46424,68587,48018,48932,40772,1719,3179,3928,1162,555,1619,0
32057,2,2,2,27,0,0,0,0,-1,-1,14005,5682,8295,15159,1785,9382,1382,976,1150,568,0,0,0
345292,2,2,1,46,0,0,0,0,-1,-1,53807,35046,36409,16931,2430,76508,1312,1795,516,0,5618,726,0
517506,2,3,1,49,-1,-1,-1,-1,0,0,2294,7335,17144,11147,26457,5152,11877,2171,7258,19416,4141,1761,0
211229,2,2,1,41,0,0,0,0,0,0,43965,37334,26479,37829,17458,30824,1984,4391,4141,7390,9830,5671,0
73435,1,2,2,36,4,5,3,2,2,2,61253,64747,34686,37397,27079,32579,0,223,0,1939,537,0,1
137754,2,1,2,26,1,-2,-2,-2,-2,-2,1715,-318,404,-1324,-694,-1698,520,500,717,490,0,329,0
142282,2,2,1,26,1,2,3,2,0,0,69000,70618,89395,83261,96412,114291,0,4826,911,2984,4373,1600,1
393991,2,1,1,51,-2,-2,-2,-2,-2,-2,-5768,142,813,1483,-44,-1524,235,771,68,397,107,245,0
21323,1,2,1,47,1,2,2,2,2,2,6112,6046,21796,13705,15385,22025,546,1246,0,2725,3482,629,1
377718,2,2,2,37,-2,-2,-2,-2,-2,-2,2146,11748,-82,434,7584,3364,2063,96,554,8427,628,2371,0
73788,2,2,1,44,2,2,2,2,0,0,45846,50032,76172,54030,83252,78618,1344,4777,2515,2046,1678,2881,1
25257,1,2,2,31,1,2,0,0,0,0,14924,22461,17782,7048,10827,6374,109,842,0,295,0,0,0
201035,2,1,2,31,-2,-2,-2,-2,-2,-2,503,4160,-57,-409,2235,23204,3521,918,423,3984,8975,1846,0
195586,2,2,2,30,0,0,0,2,0,0,172490,46077,161815,135762,135183,82940,7851,5556,4451,5111,3828,0,1
23050,1,3,1,44,1,2,0,0,0,2,8685,17005,14349,8667,22103,18499,0,1579,507,1788,45,371,1
33482,1,2,2,28,0,0,2,-2,4,-2,23255,18322,-144,415,1619,-529,690,0,0,321,300,0,1
478954,2,2,2,37,0,0,0,0,0,0,208374,158563,247570,208165,136317,181874,8672,13712,10444,5890,0,13002,0
232886,2,1,1,43,1,-2,-2,-2,-2,-2,-1562,14658,1342,2226,321,2571,1002,793,1229,433,886,333,0
137507,2,2,1,45,-1,2,-1,-1,-1,-1,4560,1206,1800,2195,5128,610,0,591,784,906,689,0,0
51665,2,2,1,38,2,0,2,0,0,0,16013,14425,11599,10423,24451,13039,1446,18,1643,448,619,1350,1
22728,1,2,1,41,0,0,0,0,0,0,25137,17961,34757,19392,21972,2617,1864,4,493,465,1153,2022,0
47360,2,2,1,40,1,2,2,2,0,0,30585,41535,20634,18103,18474,31550,321,1707,1101,10,3250,577,1
217915,2,2,1,54,-1,-1,-1,0,0,0,1308,1790,23366,13401,549,590,2702,2171,782,574,264,632,0
353572,2,1,1,37,-2,-2,-2,-1,-1,-1,3821,7954,11840,15562,8339,24957,448,9556,14894,13069,15414,12338,0
146437,2,2,1,42,0,0,0,2,0,0,89337,98632,92682,105303,114246,101840,3361,5435,5565,2183,2891,3031,0
19829,1,2,2,28,0,0,2,0,0,0,10399,19858,18143,21844,8163,-111,491,329,1604,613,183,245,0
117691,2,2,2,27,0,0,0,2,0,0,86332,104949,86552,83825,119416,99801,3709,4190,2198,4457,4476,3788,0
155218,2,1,1,44,-1,-1,-1,-1,0,0,1143,13602,1332,2583,325,-137,768,1071,777,75,245,0,0
113601,2,1,2,27,2,2,2,2,2,2,68413,46956,51965,66328,51157,38656,0,3652,3284,3,225,2069,1
221278,2,2,1,45,2,2,2,0,0,0,187254,200273,212592,195934,150883,136238,11220,34,6815,7283,63,0,1
53759,2,2,1,41,0,0,0,0,0,0,14142,11226,947,1833,4372,7483,1404,0,647,1874,2468,2244,0
222628,2,2,1,41,-2,-2,-2,-2,-2,-2,-2498,354,3078,1000,109,1206,0,3208,0,0,0,0,0
213405,2,1,1,37,-1,-1,-1,-1,-1,-1,1887,275,11259,7419,1658,949,4091,9087,2088,0,883,241,0
