LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
222046,1,2,2,41,0,0,0,0,0,0,107232,180474,177122,298156,190086,108493,4198,7337,7639,21338,1558,927,0
210606,2,2,2,22,-1,-1,-1,-1,-2,-2,1937,14405,610,1378,815,-393,1679,1552,0,0,58,0,0
289848,2,1,2,34,0,-1,-1,-1,-1,-1,-740,1495,3629,739,741,1428,8058,2419,1093,555,174,11705,1
13829,2,2,2,22,-1,-1,3,-1,0,2,11722,36789,19971,15100,16800,10842,0,1523,885,2283,0,126,0
234985,2,1,2,22,-2,-2,-2,-2,-2,-2,2326,-124,83,-4856,-1207,27962,4864,431,0,48381,647,381,0
53792,1,2,2,34,0,4,0,2,0,-2,11204,13666,22945,5612,10985,7217,6404,1640,347,658,0,441,0
17172,1,3,1,43,1,0,2,2,4,3,8772,19894,20495,10061,19077,13250,5073,1962,805,4703,0,610,1
51779,1,1,2,35,0,0,0,0,-1,0,53589,72367,52588,21615,29571,24478,34828,8056,4219,651,78,2244,0
49180,2,2,2,35,0,0,0,0,0,-2,15451,14179,13668,338,11744,-820,1146,0,0,577,0,28,1
405327,2,2,1,46,4,5,4,3,2,0,8305,475941,56912,68940,45551,23373,0,629,0,706,1383,945,1
27686,2,2,2,22,1,2,2,4,3,0,1692,11258,13208,15651,16910,21059,10,721,0,498,0,1632,1
32646,1,1,2,48,1,2,2,2,4,3,2169,13874,12756,7184,20352,19704,1151,1443,0,289,467,0,1
83332,2,2,1,50,0,0,0,0,0,0,56701,40678,45993,45340,41004,45622,2170,4796,3509,2582,1076,2278,0
22127,1,2,2,23,1,2,2,2,2,6,11848,10132,10000,5351,18836,14727,0,0,0,635,1147,985,1
125418,2,2,2,36,0,0,0,0,0,0,130463,152428,133322,127613,132980,61558,8409,7450,2695,6191,3474,6551,0
47905,2,3,1,50,1,4,3,3,0,0,86653,64745,41599,12777,72327,19056,0,0,23,285,633,1883,0
415919,2,1,1,33,5,-1,4,3,0,0,9414,4388,21022,1246,5681,12690,918,1034,702,1017,389,372,1
51676,2,2,2,23,0,0,0,-1,-2,0,40698,-365,770,116,987,16734,36,1348,137,656,0,304,0
72086,2,3,1,32,0,0,0,0,0,0,61980,70830,89548,89852,82454,103343,4411,3447,1702,2546,782,2052,0
204242,1,3,2,32,-1,-1,0,0,0,0,150113,7655,172919,96286,119169,8105,11121,3761,4687,7745,10069,3729,0
86751,1,2,1,34,-2,-1,-2,-2,-2,0,4501,445,2569,2143,13,8824,2083,559,1955,615,2157,2773,0
100312,1,1,2,54,1,2,0,0,0,0,83143,76087,88329,63306,49683,97937,52801,8267,1043,1888,655,2429,0
221632,1,2,2,24,0,0,0,0,0,-1,387708,18346,209550,279414,44174,189553,2881,7033,11980,504,8355,19768,0
186986,1,1,3,25,0,0,0,0,0,-1,36721,364,27696,-686,-807,-230,3058,3941,0,1036,0,150,0
57755,1,1,2,25,1,-2,-2,-2,-2,-2,9031,-859,-1303,-1141,9411,-798,0,381,7872,813,441,0,1
178733,2,2,2,30,1,-2,-2,-2,0,0,47207,70948,85550,-1478,51430,76595,0,1268,2019,2461,4250,2943,0
353362,1,2,1,34,-2,-2,-2,-2,-2,-2,1708,1746,-1082,1512,745,611,4307,6262,5053,470,0,381,0
39790,2,3,1,32,0,0,0,0,0,0,15022,50400,18581,9598,20626,28744,260,18,886,880,0,914,1
22206,2,3,2,51,1,4,3,2,-2,0,-1084,4764,-478,1727,15881,2080,0,337,201,15,713,106,0
48554,2,2,2,22,4,3,2,2,2,2,40245,67359,55826,33572,48717,52297,2378,410,682,1086,168,537,1
52433,2,2,1,29,2,0,2,7,5,4,62538,54039,64407,77475,1923,22067,737,954,1345,403,230,50,1
355690,2,2,1,45,8,7,6,5,4,3,148197,189261,125977,83012,171863,119888,0,1261,6347,187,0,0,1
192086,2,1,2,51,1,-1,2,-1,0,0,113001,147061,150069,124850,58152,117252,7205,10690,3630,5596,4822,8428,0
208482,2,2,1,48,1,-2,-2,-2,-2,-2,2342,282,970,26,276,294,0,0,0,243,0,477,0
228757,2,1,2,48,-1,-1,-1,-1,-1,-1,1272,2264,24910,7372,10153,689,6486,11404,1244,6309,4204,14827,0
82932,2,2,1,49,3,2,2,2,2,4,25972,48368,23175,22632,100360,24236,1563,5392,8157,1533,952,0,1
227264,2,2,1,35,-2,-2,0,-2,0,0,3497,76098,395,105187,87849,81096,2569,1612,2211,8914,1294,3070,0
