LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
69595,2,2,2,28,0,0,0,0,0,0,100155,129473,85176,79282,80568,64311,4649,4741,2577,1918,477,2370,0
54911,2,2,1,46,0,0,0,0,0,0,43827,24951,10182,13103,27304,23522,2076,2749,919,2330,1891,836,0
152952,2,2,2,27,0,0,0,0,0,0,149336,217101,103370,120156,115521,155223,7326,5991,4867,4731,6564,695,0
129325,2,2,2,27,0,0,0,0,2,2,71085,115656,81110,96721,64778,87400,4621,3658,2091,5649,275,3662,0
318745,2,2,1,36,1,2,2,0,0,0,59578,55757,79826,77034,76100,26689,2121,4,4381,1604,3228,2705,0
309401,2,2,1,41,-2,-2,-2,-2,-2,-2,-607,2610,130,150,621,284,1526,0,349,241,0,0,0
179555,2,2,1,34,1,-2,-1,-1,-1,-1,114,485,7625,-34,-916,2761,189,1370,1159,790,4622,0,0
206125,1,2,1,55,0,0,0,0,0,0,172091,149322,158663,127668,10846,7022,8784,9572,2503,6739,10167,8201,0
26536,2,2,2,25,2,2,2,-2,-2,-2,20455,-532,1603,-939,270,225,138,282,322,415,0,0,0
82590,2,1,2,23,0,0,0,0,0,0,93527,68798,58469,27862,25985,11061,4569,3118,1534,392,0,440,0
132165,2,2,1,33,-2,-2,-2,-2,-2,-2,1318,222,1611,-2194,484,605,2659,1119,814,170,275,0,0
464171,2,1,1,42,-2,-2,-2,-2,-2,-2,1891,-231,4181,8962,746,293,1299,3892,48,227,325,455,0
119162,2,2,2,28,-2,-2,-2,-2,-2,-2,3680,2015,-2,1409,-614,817,316,1262,23,0,0,415,0
128505,2,2,1,32,0,0,0,0,0,0,125573,92307,130366,84686,78655,114436,4993,3584,4906,3322,2275,1731,0
390469,2,1,2,26,-1,-1,-2,-1,-1,-1,14923,1419,15559,2270,9558,9710,9470,1471,21176,14653,6532,511,0
83844,2,2,2,23,0,0,0,0,0,0,65011,53607,49951,36125,32727,36062,2506,1963,4217,2317,1370,2318,0
201720,2,1,2,29,0,0,0,0,0,0,161133,204559,126046,159465,134421,127390,8976,8950,2410,8111,4305,5941,0
49033,2,2,2,27,0,0,0,0,0,0,44064,18804,29959,37307,24545,26733,1811,2607,2848,2076,1674,2155,0
354979,2,1,1,36,-2,-2,-2,-2,-2,-2,3730,764,2940,1987,-989,2519,2239,1315,4373,583,3997,299,0
147965,2,2,2,28,-1,-1,0,-1,-1,-1,-132,1901,8861,914,-18,86,1851,231,460,456,0,412,0
223334,2,2,2,28,2,2,2,2,2,0,153246,202447,209569,181076,159695,159399,7867,330,6815,6250,12953,6263,1
199679,2,1,1,35,1,-2,-1,-1,-2,-2,14913,762,18261,-875,-1093,1041,1237,972,0,62,1614,452,1
105759,2,2,2,25,0,0,0,0,0,0,59205,69872,50559,35948,30736,24289,4500,1044,2621,1907,0,3715,0
90752,2,2,2,22,0,0,0,0,0,0,59888,31747,24201,30370,53780,55232,1117,3359,2596,4215,1254,1821,0
50555,2,2,2,25,1,-2,-1,-1,-2,-2,734,991,30752,830,1171,1697,240,6287,539,1031,0,0,1
23279,2,2,1,38,2,2,2,2,2,2,10839,17241,28815,18263,21316,17212,663,2316,2543,0,390,159,1
158218,2,2,2,35,0,0,0,0,0,0,87974,70489,90140,69118,68195,33277,2612,3174,4160,2959,978,1544,0
153672,2,2,1,53,0,0,0,2,0,0,103004,74845,124060,108219,115076,94378,6202,4133,4188,2530,5071,5382,0
358396,2,1,2,27,-1,-1,-1,-1,0,0,13657,20961,57421,102349,50990,42343,48955,38985,8953,33623,35451,13919,0
61945,2,2,2,26,1,2,2,2,2,0,39380,18124,77073,38098,49595,61924,369,3135,229,0,1839,1027,1
403466,2,2,1,51,-1,-1,-1,-1,0,-1,3858,2821,671,5724,1539,2271,3382,0,1217,1234,29,952,0
179432,2,2,1,33,0,0,0,0,0,0,129695,178654,151162,147291,130944,131572,4777,8140,9810,7328,2321,3676,0
192499,2,2,1,35,0,0,0,0,0,0,6357,12150,23861,15610,9569,26586,23937,4358,1869,3198,672,2472,0
137817,2,2,2,24,0,0,0,0,0,0,120230,74990,101949,92117,46403,53172,4021,4612,3834,1887,0,2507,0
61811,2,2,1,47,0,0,0,0,0,0,75865,56215,67146,47663,53852,38512,1960,4582,945,3909,1923,2142,0
24367,1,2,2,22,0,0,0,0,0,-2,2343,17200,16149,7868,-1570,-4341,2318,584,468,49,0,0,0
151234,2,2,1,34,-2,-2,-2,-2,-2,-2,3020,113,-1155,-402,-381,272,775,671,1300,533,115,61,0
15680,2,2,2,29,0,0,0,0,0,0,5734,16906,5012,-13,568,425,1544,1323,1009,373,585,547,0
104486,2,2,1,37,-1,-1,-1,-1,-1,-1,2320,845,-42,2250,3229,-473,270,1138,591,2875,149,0,0
49552,2,2,1,45,2,0,0,0,0,0,40749,12347,15084,50777,27991,21320,1374,383,1091,522,1820,325,1
79283,2,2,1,43,0,0,0,0,0,0,76865,-69777,67251,80321,46247,48286,3694,2915,3787,4628,5132,958,0
284846,2,1,2,30,-1,-1,0,0,0,0,9284,38882,82492,85464,84228,76033,74900,7668,3646,2776,2527,5916,0
143037,2,2,1,37,0,0,0,0,0,0,121803,126975,154318,132125,106308,109208,4812,5525,5636,5003,5032,6943,0
257050,2,1,2,27,0,0,0,-2,-2,-1,295177,128420,1348,-467,1917,1425,5424,608,40,2314,1345,225,0
52077,2,2,1,37,0,0,0,0,0,0,67928,61785,41183,47513,41630,35227,1471,1329,1224,677,1466,1788,0
21563,2,2,1,35,-2,-2,-2,-2,-2,-2,102,1088,15687,1361,543,1466,1564,0,0,46,885,8,1
47117,2,2,1,39,0,0,0,0,0,0,47030,18247,24593,21103,40175,25999,1707,1099,3508,1560,1648,2597,0
174886,2,2,2,26,0,0,0,0,0,0,154662,159258,170030,126012,162863,134227,6293,7520,3912,6591,12357,317,0
53423,2,2,2,26,0,0,0,0,0,0,28164,25247,1595,23516,16377,5605,1088,937,909,304,1901,105,0
208516,2,2,2,40,0,0,0,0,0,0,136805,187662,148050,106590,105453,114246,9990,4287,8346,5412,7750,4922,0
352756,2,1,2,27,-1,-1,-1,0,0,0,2920,13817,20332,9956,31301,5491,1729,2346,4185,8647,4015,1859,0
